order,type,model,mAP,size,time
1,DaiNet,DaiNet19,0.295,17577038,238686
2,LeeNet,LeeNet11,0.266,3008615,44092
3,LeeNet,LeeNet24,0.336,40074234,212222
4,MobileNet,MobileNetV1,0.389,19292894,15061
5,MobileNet,MobileNetV2,0.383,16479017,14363
6,ResNet,ResNet22,0.430,254790586,171169
7,ResNet,ResNet38,0.434,295262987,282284
8,ResNet,ResNet54,0.429,417557498,340757
9,Res1dNet,Res1dNet31,0.365,322084539,271788
10,Res1dNet,Res1dNet51,0.355,426483457,479956
11,Cnn,Cnn6,0.343,19362440,140676
12,Cnn,Cnn10,0.380,20899686,163211
13,Cnn,Cnn14,0.431,323089091,240075
14,Cnn,Cnn14_emb32,0.364,302316219,240766
15,Cnn,Cnn14_emb128,0.412,303305407,239570
16,Cnn,Cnn14_emb512,0.420,307262145,242368
17,Cnn,Cnn14_DecisionLevelAtt,0.425,327410951,244134
18,Cnn,Cnn14_DecisionLevelMax,0.385,323091066,249368
19,Wavegram,Wavegram_Cnn14,0.389,323899799,285209
20,Wavegram,Wavegram_Logmel_Cnn14,0.439,323384111,264918
